name,country,industry,revenue,revenue_musd,cost_musd,margin_pct,employee_count,co2_emissions,total_emissions,water_usage,waste_generated,renewable_energy_percent,injury_rate,training_hours,living_wage_ratio,gender_diversity_percent,board_diversity,board_independence,transparency_score,anti_corruption_policy,delivery_efficiency,energy_efficiency,waste_management_score,pollution_control,community_engagement,worker_safety,diversity_inclusion_score,supplier_diversity,traceability,quality_control_score,wage_fairness,human_rights_index,geopolitical_risk,climate_risk,labor_dispute_risk,corruption_risk,ethics_program,compliance_systems,risk_factor,risk_penalty,ethical_score,environmental_score,social_score,governance_score,risk_level,composite_score,finalScore,completeness_ratio
Innovative Manufacturing Services Corp. (Batch 4),Japan,Energy,4671.6,4671.6,3200,31.5,16293,272177,272177,102491,1937,41.5,1.59,48.8,1.15,30,37.7,51.7,67.1,true,0.87,0.76,0.51,0.61,0.76,0.88,0.76,0.6,0.9,0.57,0.63,0.55,0.22,0.23,0.19,0.49,0.59,0.5,0.21,0,76.2,82.5,77.4,66.6,low,76.2,76.2,0.81
Summit Automotive Dynamics Ltd. (Batch 4),United Kingdom,Pharmaceuticals,3856.2,3856.2,2996.3,22.3,11138,116632,116632,33559,965,39.3,1.97,12.6,1.44,35.7,22.2,70.1,78.3,true,0.78,0.55,0.82,0.63,0.83,0.62,0.67,0.74,0.54,0.94,0.82,0.55,0.08,0.1,0.07,0.38,0.69,0.63,0.08,0,75.7,81.8,68.8,74.4,low,75.7,75.7,0.81
Global Pharmaceuticals Technologies  (Batch 4),Canada,Electronics,4763.5,4763.5,3925.1,17.6,26949,174938,174938,38162,1380,36.1,1.4,25.4,1.02,21,39.1,44.1,68.1,false,0.65,0.92,0.55,0.55,0.62,0.88,0.65,0.85,0.83,0.61,0.75,0.81,0.17,0.22,0.16,0.39,0.55,0.84,0.18,0,69.3,80.8,66.9,56.5,low,69.3,69.3,0.81
Ultra Food & Beverage International Inc. (Batch 4),United States,Chemicals,3483.3,3483.3,2692.6,22.7,12223,262927,262927,40068,2185,3.4,1.45,14.1,1.05,38.2,44.5,42.4,53,false,0.69,0.5,0.6,0.42,0.42,0.51,0.63,0.76,0.82,0.9,0.53,0.92,0.53,0.56,0.51,0.5,0.63,0.84,0.53,345,0,71,58.5,53.3,high,61.9,0,0.81
Apex Construction Dynamics Corp. (Batch 4),Singapore,Automotive,1093.7,1093.7,737.2,32.6,2326,218717,218717,52445,2551,49.2,0.67,37.4,0.95,23.2,51.5,75.9,58.9,true,0.65,0.82,0.82,0.63,0.41,0.93,0.68,0.81,0.81,0.68,0.73,0.94,0.37,0.43,0.36,0.44,0.69,0.83,0.39,135,0,74.8,73.6,77.2,medium,75.1,0,0.81
Future Manufacturing Limited Corp. (Batch 4),Japan,Electronics,1815.8,1815.8,1262,30.5,6988,102485,102485,42864,755,57.9,1.48,47.1,1.13,37,46.7,55.5,76.4,true,0.9,0.44,0.84,0.42,0.75,0.6,0.81,0.78,0.77,0.67,0.87,0.84,0.29,0.31,0.26,0.31,0.71,0.85,0.29,0,81.4,87.4,75.2,79.7,low,81.4,81.4,0.81
Eco Electronics Inc Corp. (Batch 4),United Kingdom,Energy,1320.7,1320.7,1052.6,20.3,3780,217665,217665,92250,2520,68.7,1.64,12.4,1.02,45.1,36.2,65.7,83.9,true,0.7,0.79,0.91,0.95,0.58,0.63,0.67,0.64,0.76,0.93,0.83,0.68,0.4,0.41,0.38,0.23,0.75,0.89,0.4,150,0,80.6,61.4,83.6,medium,75.7,0,0.81
Summit Manufacturing Services Co. (Batch 4),Germany,Energy,3677.7,3677.7,2394.2,34.9,20606,219394,219394,86139,2202,63.6,1.33,37.8,1.42,22.9,37.6,69.3,57,true,0.88,0.64,0.88,0.9,0.64,0.77,0.75,0.6,0.56,0.93,0.93,0.93,0.61,0.64,0.59,0.43,0.69,0.53,0.61,465,0,89.1,78.5,69.3,high,80,0,0.81
Summit Electronics Dynamics Corp. (Batch 4),Canada,Food & Beverage,3409.9,3409.9,2946.2,13.6,13361,102066,102066,58104,2124,49.8,1.64,20.9,0.91,53.5,44.4,74.4,89.3,true,0.78,0.47,0.74,0.41,0.86,0.54,0.7,0.71,0.59,0.54,0.58,0.81,0.84,0.89,0.83,0.52,0.55,0.64,0.85,825,0,84.9,65.5,77.8,critical,77,0,0.81
Sustainable Textiles & Apparel Dynamics Ltd. (Batch 4),Japan,Construction,162.1,162.1,149.5,7.8,688,137031,137031,59110,947,45,1.96,27.5,1.34,34.4,22.5,52.7,82.2,true,0.91,0.6,0.58,0.87,0.82,0.8,0.69,0.73,0.55,0.73,0.77,0.8,0.61,0.63,0.58,0.47,0.64,0.79,0.61,465,0,73.5,72.5,73.6,high,73.2,0,0.81
Eco Energy Manufacturing Ltd. (Batch 4),Germany,Manufacturing,1640.2,1640.2,1335.1,18.6,6942,178460,178460,28292,1070,43.3,1.77,34.4,1.11,28.4,51.2,58.7,62.1,false,0.72,0.75,0.53,0.93,0.77,0.78,0.81,0.76,0.87,0.88,0.73,0.84,0.05,0.08,0.05,0.58,0.56,0.73,0.06,0,67.2,73,71,55.6,low,67.2,67.2,0.81
Summit Construction Systems Co. (Batch 4),Singapore,Energy,268.2,268.2,244.3,8.9,1086,390752,390752,93311,2795,54,2.42,48.3,1.35,34.2,34,77.1,88.5,false,0.74,0.52,0.7,0.43,0.88,0.72,0.45,0.66,0.58,0.94,0.87,0.72,0.22,0.28,0.21,0.48,0.8,0.86,0.24,0,72.9,76.2,72.5,68.9,low,72.9,72.9,0.81
Superior Automotive Industries Ltd. (Batch 4),Japan,Technology,4571.7,4571.7,3876.8,15.2,34206,74396,74396,15097,472,74.9,1.23,27.3,1.04,26.9,26.8,49.8,70.3,true,0.79,0.78,0.68,0.49,0.71,0.61,0.67,0.52,0.56,0.65,0.94,0.67,0.2,0.21,0.17,0.31,0.57,0.94,0.19,0,79.4,92.5,67.8,73.6,low,79.4,79.4,0.81
Superior Manufacturing Collective Co. (Batch 4),Singapore,Construction,4886.1,4886.1,4138.5,15.3,9814,128354,128354,42513,1702,7.2,0.58,27.2,0.91,35.8,43,63.3,54.3,true,0.68,0.73,0.74,0.88,0.58,0.91,0.71,0.7,0.7,0.79,0.58,0.75,0.45,0.51,0.44,0.56,0.83,0.52,0.47,255,0,72.2,76.2,69.2,medium,72.5,0,0.81
Superior Automotive Works Corp. (Batch 4),Singapore,Textiles & Apparel,610.9,610.9,423.4,30.7,4278,117131,117131,33488,745,26.3,1.27,38.8,1,34.1,32.9,64.9,57.3,false,0.89,0.7,0.76,0.47,0.8,0.58,0.46,0.49,0.54,0.59,0.86,0.53,0.48,0.54,0.46,0.23,0.53,0.59,0.49,285,0,67.9,67.8,53.5,medium,63.5,0,0.81
Advanced Food & Beverage Collective  (Batch 4),China,Energy,2510.8,2510.8,1805.3,28.1,15882,238085,238085,83979,2134,64.6,0.84,31,0.86,31.6,21.6,47.5,77.4,false,0.68,0.44,0.57,0.63,0.57,0.56,0.7,0.73,0.94,0.74,0.84,0.71,0.48,0.46,0.45,0.5,0.7,0.72,0.46,240,0,89.4,67.2,56,medium,72.7,0,0.81
Mega Chemicals Holdings LLC (Batch 4),United Kingdom,Textiles & Apparel,1649,1649,1282.9,22.2,7816,73991,73991,35073,748,36.3,1.92,42.4,0.93,30.9,37.9,52.9,55.2,true,0.9,0.58,0.53,0.79,0.84,0.85,0.82,0.63,0.57,0.72,0.89,0.71,0.41,0.42,0.39,0.36,0.61,0.75,0.41,165,0,80.9,70.2,69.2,medium,74.2,0,0.81
Green Energy Network LLC (Batch 4),Singapore,Automotive,1363.4,1363.4,923,32.3,6131,165346,165346,53979,1680,31,0.79,29.7,1.48,48.1,37.2,45.5,54,true,0.89,0.6,0.77,0.67,0.59,0.7,0.78,0.5,0.81,0.85,0.76,0.65,0.78,0.84,0.77,0.31,0.95,0.54,0.8,750,0,69.3,85.9,70.2,critical,74.5,0,0.81
Mega Electronics Enterprises Ltd. (Batch 4),United States,Food & Beverage,1599.6,1599.6,1503.6,6,5529,87537,87537,65115,1915,36.9,0.48,47.4,0.99,24.6,31,76.8,67.7,false,0.78,0.43,0.51,0.49,0.44,0.69,0.82,0.53,0.61,0.85,0.86,0.77,0.81,0.84,0.79,0.35,0.53,0.74,0.81,765,0,81.1,77.4,58.6,critical,73.2,0,0.81
Pro Construction Inc Corp. (Batch 4),South Korea,Energy,1005.5,1005.5,950.2,5.5,4085,263829,263829,75325,2166,65,1.5,47.6,1.29,22.7,30.1,60.9,61.8,true,0.61,0.51,0.48,0.52,0.67,0.56,0.86,0.49,0.84,0.84,0.73,0.53,0.67,0.67,0.64,0.36,0.78,0.53,0.66,540,0,79.5,75.1,70.2,high,75.4,0,0.81
Ultra Food & Beverage Industries Co. (Batch 4),Singapore,Construction,4531.6,4531.6,3720.4,17.9,26896,104905,104905,38011,1210,20.7,1.53,46.5,1.38,39.1,38.8,41.8,79.6,true,0.94,0.82,0.66,0.67,0.78,0.65,0.85,0.58,0.52,0.64,0.89,0.55,0.13,0.19,0.12,0.45,0.53,0.59,0.15,0,75.8,76.2,81.7,69.3,low,75.8,75.8,0.81
Next Textiles & Apparel International Corp. (Batch 4),South Korea,Pharmaceuticals,2505.5,2505.5,2107.1,15.9,17469,109750,109750,36389,489,36.1,0.27,21.7,0.97,34.2,59.9,58.1,85.5,true,0.69,0.5,0.67,0.82,0.54,0.75,0.47,0.58,0.7,0.88,0.88,0.69,0.27,0.27,0.24,0.5,0.73,0.81,0.26,0,78.8,80.8,72.6,82.2,low,78.8,78.8,0.81
Advanced Textiles & Apparel Solutions  (Batch 4),South Korea,Textiles & Apparel,2521.2,2521.2,2185.9,13.3,6157,88022,88022,28566,815,11.3,1.23,16,0.89,33.1,36.3,56.7,54.5,true,0.66,0.77,0.62,0.6,0.47,0.88,0.76,0.47,0.83,0.84,0.84,0.83,0.13,0.13,0.1,0.3,0.72,0.57,0.12,0,69.6,73.4,65.3,68.9,low,69.6,69.6,0.81
Eco Technology Partners  (Batch 4),Japan,Food & Beverage,1194.4,1194.4,990.2,17.1,4426,138223,138223,60756,1627,24.4,0.84,20.8,1.24,43.3,57.1,64.9,53.9,true,0.75,0.74,0.5,0.43,0.78,0.54,0.64,0.54,0.71,0.58,0.73,0.93,0.47,0.48,0.44,0.33,0.62,0.52,0.46,240,0,67.3,76.5,70.6,medium,71,0,0.81
Ultra Chemicals International Ltd. (Batch 4),India,Textiles & Apparel,3894.8,3894.8,3458.6,11.2,30363,114905,114905,34341,700,44.1,0.53,35.6,1.15,27.4,41.7,74.1,84.9,true,0.71,0.55,0.68,0.51,0.52,0.59,0.49,0.85,0.87,0.93,0.83,0.5,0.31,0.33,0.31,0.46,0.59,0.7,0.32,30,48.7,83.2,72.9,78.3,medium,78.7,48.7,0.81
Global Textiles & Apparel Corp Inc. (Batch 4),United Kingdom,Automotive,1859.5,1859.5,1214.3,34.7,7359,165790,165790,42421,2375,46.7,0.64,10.6,0.83,37.3,23.2,59.5,60.1,false,0.94,0.81,0.77,0.89,0.6,0.5,0.7,0.54,0.69,0.94,0.6,0.91,0.37,0.39,0.36,0.4,0.93,0.77,0.37,105,0,84,64.9,58.9,medium,70.8,0,0.81
Eco Construction Collective  (Batch 4),Japan,Food & Beverage,1352.2,1352.2,964.1,28.7,5848,115698,115698,59297,1853,60.9,1.67,15.6,0.87,24.9,53,70.3,54.7,true,0.71,0.56,0.91,0.57,0.67,0.62,0.88,0.87,0.58,0.73,0.85,0.81,0.37,0.38,0.34,0.34,0.83,0.76,0.36,90,0,88.3,60.1,77.6,medium,76.6,0,0.81
Next Chemicals Ventures Co. (Batch 4),Germany,Technology,4819.2,4819.2,4279.4,11.2,29821,41529,41529,22743,368,55.5,0.24,49.2,1.4,31.3,27.9,49.1,87.6,true,0.81,0.77,0.88,0.83,0.53,0.56,0.66,0.48,0.69,0.7,0.73,0.51,0.75,0.78,0.74,0.24,0.79,0.7,0.76,690,0,86.7,86.4,78.4,critical,84.1,0,0.81
Mega Automotive Technologies Co. (Batch 4),United Kingdom,Construction,1057.1,1057.1,896.4,15.2,3594,88958,88958,56745,1510,1.7,1.61,37.5,0.88,54.5,29.5,79.8,63.9,true,0.84,0.89,0.86,0.68,0.51,0.77,0.66,0.79,0.67,0.71,0.93,0.86,0.78,0.8,0.77,0.36,0.93,0.52,0.78,720,0,70.5,66.3,75.5,critical,70.7,0,0.81
Premium Pharmaceuticals Holdings  (Batch 4),Germany,Energy,185.1,185.1,166.8,9.9,1239,287603,287603,71766,3094,46.1,0.48,20,1.05,26.2,46.9,65.3,76.4,false,0.72,0.82,0.47,0.68,0.71,0.88,0.4,0.8,0.94,0.65,0.76,0.54,0.66,0.69,0.64,0.25,0.7,0.94,0.66,540,0,73.8,74,68,high,72.1,0,0.81
Ultra Textiles & Apparel Industries  (Batch 4),France,Construction,1850.9,1850.9,1295.6,30,8650,142149,142149,38446,1775,18.7,1.06,44.9,0.99,31.5,36.3,66.3,72.3,true,0.87,0.75,0.55,0.94,0.75,0.62,0.53,0.81,0.69,0.83,0.61,0.94,0.07,0.09,0.06,0.44,0.92,0.72,0.07,0,75.3,75.6,71.4,78.7,low,75.3,75.3,0.81
Eco Food & Beverage Collective LLC (Batch 4),China,Food & Beverage,2085.7,2085.7,1923,7.8,12581,118996,118996,63190,1256,53.4,0.82,32.3,1.04,31,23.6,40.2,80.6,false,0.69,0.87,0.58,0.72,0.45,0.85,0.76,0.46,0.64,0.75,0.9,0.77,0.31,0.3,0.28,0.41,0.68,0.91,0.3,0,74.6,86,74.6,59.5,medium,74.6,74.6,0.81
Premium Technology Inc Co. (Batch 4),India,Food & Beverage,1665.7,1665.7,1392.5,16.4,6802,78128,78128,38620,2011,49.5,2.28,12.2,1.04,53.6,50.8,69.4,64.5,true,0.74,0.45,0.65,0.67,0.49,0.78,0.71,0.64,0.8,0.6,0.51,0.69,0.17,0.19,0.17,0.42,0.71,0.87,0.18,0,75.8,84.9,61,78.7,low,75.8,75.8,0.81
Global Construction Limited Ltd. (Batch 4),Canada,Technology,4031.7,4031.7,3814,5.4,31795,72199,72199,29455,731,80.6,1.09,20.3,1.13,24.6,53.3,64.9,50.5,true,0.61,0.72,0.92,0.87,0.53,0.83,0.74,0.87,0.84,0.58,0.66,0.58,0.53,0.57,0.51,0.28,0.59,0.62,0.54,360,0,94.2,71,70.7,high,80.2,0,0.81
