name,country,industry,revenue,revenue_musd,cost_musd,margin_pct,employee_count,co2_emissions,total_emissions,water_usage,waste_generated,renewable_energy_percent,injury_rate,training_hours,living_wage_ratio,gender_diversity_percent,board_diversity,board_independence,transparency_score,anti_corruption_policy,delivery_efficiency,energy_efficiency,waste_management_score,pollution_control,community_engagement,worker_safety,diversity_inclusion_score,supplier_diversity,traceability,quality_control_score,wage_fairness,human_rights_index,geopolitical_risk,climate_risk,labor_dispute_risk,corruption_risk,ethics_program,compliance_systems,risk_factor,risk_penalty,ethical_score,environmental_score,social_score,governance_score,risk_level,composite_score,finalScore,completeness_ratio
Innovative Energy Group,India,Manufacturing,4223.9,4223.9,3488.9,17.4,25987,124966,124966,38638,1400,35.3,0.52,23.5,1.09,42.4,20,45,74.1,true,0.73,0.71,0.92,0.55,0.54,0.81,0.61,0.88,0.6,0.77,0.57,0.57,0.06,0.07,0.06,0.27,0.52,0.66,0.06,,75.8,80.6,77.1,68.3,low,75.8,75.8,0.81
Ultra Food & Beverage Network Inc.,Japan,Technology,375.1,375.1,317,15.5,1963,42964,42964,26643,554,45.1,1.18,14.3,1.27,48.6,50.2,64.4,67.8,true,0.68,0.8,0.91,0.57,0.79,0.76,0.53,0.44,0.8,0.67,0.74,0.55,0.14,0.15,0.11,0.53,0.72,0.94,0.13,,75.5,73.5,75,78.7,low,75.5,75.5,0.81
Elite Chemicals Solutions Inc.,Canada,Textiles & Apparel,1851.7,1851.7,1414.7,23.6,11658,109485,109485,25882,1128,7.7,2.35,27.6,0.9,31.7,33.2,52.1,80.2,true,0.78,0.78,0.57,0.57,0.69,0.89,0.79,0.42,0.94,0.71,0.86,0.91,0.1,0.14,0.08,0.26,0.63,0.89,0.11,,71.5,72.3,63.8,78,low,71.5,71.5,0.81
Next Energy Industries LLC,India,Electronics,2781.3,2781.3,2639.5,5.1,6951,116822,116822,34240,984,64.2,2.43,20.7,0.95,47,32.5,63.9,52.4,true,0.8,0.6,0.63,0.54,0.85,0.63,0.88,0.89,0.76,0.55,0.75,0.6,0.49,0.5,0.49,0.28,0.81,0.53,0.49,,76.3,89.3,65.6,69.9,medium,76.3,76.3,0.81
Modern Pharmaceuticals Corp Corp.,France,Food & Beverage,1834.8,1834.8,1390.8,24.2,14419,119953,119953,55690,1886,41.3,1.18,30.7,1.05,44.5,56.5,72.8,77.6,true,0.9,0.62,0.5,0.91,0.65,0.54,0.72,0.67,0.75,0.55,0.9,0.8,0.36,0.38,0.35,0.58,0.7,0.85,0.36,,78.5,82.4,70.7,81.2,medium,78.5,78.5,0.81
Elite Textiles & Apparel Manufacturing LLC,United Kingdom,Chemicals,4166.4,4166.4,3412.3,18.1,14852,166198,166198,59264,2093,45.5,1.06,18.5,0.95,22.9,31.2,45.4,51.2,true,0.79,0.74,0.66,0.78,0.69,0.95,0.47,0.74,0.94,0.75,0.57,0.8,0.54,0.56,0.53,0.33,0.79,0.84,0.54,60,14.7,83.7,67.2,70.4,high,74.7,14.7,0.81
Pro Energy Limited Inc.,United States,Textiles & Apparel,991,991,888.9,10.3,7665,61506,61506,35415,923,24.6,0.53,19.9,0.81,29.8,34.4,41,78.3,false,0.72,0.59,0.64,0.65,0.52,0.88,0.61,0.73,0.56,0.6,0.86,0.81,0.59,0.62,0.57,0.51,0.85,0.76,0.59,135,0,77.4,69.5,59.9,high,69.8,0,0.81
Sustainable Pharmaceuticals Corp Corp.,United States,Electronics,2158.2,2158.2,1998.5,7.4,5198,88984,88984,35366,1039,26.5,2.04,26.8,1.18,38.3,32.6,70.1,89.8,false,0.63,0.49,0.79,0.42,0.8,0.84,0.53,0.45,0.66,0.75,0.6,0.68,0.7,0.73,0.69,0.31,0.68,0.81,0.71,315,0,78,67.3,67.1,critical,71.5,0,0.81
Innovative Manufacturing Systems Ltd.,South Korea,Energy,2363.6,2363.6,2179.2,7.8,8752,396911,396911,80098,3097,38.1,0.67,32.3,1.39,20.5,49.3,50.7,77.7,false,0.81,0.47,0.82,0.7,0.63,0.89,0.43,0.56,0.86,0.65,0.88,0.95,0.78,0.78,0.75,0.42,0.77,0.87,0.77,405,0,71.4,79.9,64.8,critical,72,0,0.81
Green Pharmaceuticals Solutions Ltd.,United Kingdom,Manufacturing,465.1,465.1,430.2,7.5,1519,116920,116920,49942,1225,26.7,0.24,37.8,1.25,30.2,23,71.6,67,false,0.69,0.53,0.8,0.67,0.51,0.63,0.9,0.61,0.86,0.66,0.59,0.8,0.77,0.78,0.75,0.56,0.79,0.7,0.77,405,0,68,85.3,57.7,critical,70.1,0,0.81
Prime Pharmaceuticals Industries Co.,United Kingdom,Pharmaceuticals,102.4,102.4,91.4,10.7,385,80594,80594,17783,831,43.8,0.74,34.3,1.29,24.6,52.7,75.6,54.7,true,0.65,0.45,0.91,0.91,0.72,0.53,0.81,0.51,0.52,0.52,0.71,0.64,0.07,0.08,0.05,0.46,0.84,0.92,0.07,,77.1,73.1,79.9,79.7,low,77.1,77.1,0.81
