name,country,industry,revenue,revenue_musd,cost_musd,margin_pct,employee_count,co2_emissions,total_emissions,water_usage,waste_generated,renewable_energy_percent,injury_rate,training_hours,living_wage_ratio,gender_diversity_percent,board_diversity,board_independence,transparency_score,anti_corruption_policy,delivery_efficiency,energy_efficiency,waste_management_score,pollution_control,community_engagement,worker_safety,diversity_inclusion_score,supplier_diversity,traceability,quality_control_score,wage_fairness,human_rights_index,geopolitical_risk,climate_risk,labor_dispute_risk,corruption_risk,ethics_program,compliance_systems,risk_factor,risk_penalty,ethical_score,environmental_score,social_score,governance_score,risk_level,composite_score,finalScore,completeness_ratio
Modern Technology Corp LLC (Batch 2),France,Construction,2271.7,2271.7,1903.7,16.2,4978,162211,162211,57244,1500,13.5,0.37,24.3,1.1,27.1,20.3,54.9,55.7,true,0.71,0.94,0.73,0.6,0.7,0.55,0.87,0.52,0.65,0.89,0.5,0.84,0.16,0.17,0.14,0.44,0.55,0.95,0.16,0,73.8,74.1,79,68.3,low,73.8,73.8,0.81
Summit Construction Inc LLC (Batch 2),South Korea,Technology,3119.6,3119.6,2910.6,6.7,21637,47206,47206,29589,636,71.2,0.97,32.4,1.12,42.4,20.4,67.7,85.3,true,0.86,0.85,0.82,0.95,0.54,0.63,0.8,0.84,0.58,0.67,0.9,0.77,0.15,0.15,0.12,0.35,0.85,0.6,0.14,0,82.4,91.4,75.1,77.8,low,82.4,82.4,0.81
Summit Food & Beverage Partners Ltd. (Batch 2),South Korea,Food & Beverage,257.1,257.1,183.1,28.8,1922,138687,138687,43373,2168,19.9,1.68,38.7,1.03,38.5,59.2,70.6,72.4,true,0.65,0.41,0.78,0.42,0.79,0.53,0.41,0.41,0.77,0.83,0.69,0.53,0.26,0.26,0.23,0.45,0.55,0.56,0.25,0,67.8,66,63.3,74.7,low,67.8,67.8,0.81
Ultra Pharmaceuticals Holdings Co. (Batch 2),China,Automotive,188,188,131.4,30.1,1341,167710,167710,74461,1444,37.8,0.56,39.7,1,45,29.2,45.9,69.9,true,0.62,0.93,0.56,0.67,0.79,0.59,0.6,0.59,0.9,0.73,0.93,0.62,0.48,0.47,0.45,0.41,0.59,0.85,0.47,255,0,71.3,78.8,71.2,medium,73.5,0,0.81
Eco Automotive Systems Ltd. (Batch 2),United States,Manufacturing,1357,1357,1162.9,14.3,9168,125162,125162,35715,1659,40.4,1.39,30,1.32,28.4,38.1,48,59.7,false,0.75,0.7,0.83,0.94,0.89,0.63,0.52,0.8,0.5,0.79,0.61,0.75,0.44,0.47,0.43,0.39,0.62,0.71,0.45,225,0,82.1,73.4,53.9,medium,71,0,0.81
Elite Construction Manufacturing Co. (Batch 2),United States,Manufacturing,1163.8,1163.8,1096.3,5.8,2494,194407,194407,46233,1090,13.3,1.87,32.2,1.01,29.2,24.8,52.3,64.8,true,0.82,0.53,0.81,0.53,0.61,0.73,0.73,0.41,0.56,0.51,0.66,0.64,0.46,0.49,0.45,0.51,0.52,0.51,0.47,255,0,64,63.4,63.1,medium,63.5,0,0.81
Eco Automotive Systems Co. (Batch 2),France,Electronics,4676.8,4676.8,4218.5,9.8,13106,145368,145368,35014,1062,55.6,0.72,26.4,1.29,31.4,35.8,52.2,79.8,true,0.8,0.7,0.56,0.67,0.58,0.55,0.83,0.5,0.87,0.67,0.87,0.67,0.43,0.45,0.42,0.24,0.75,0.54,0.43,195,0,86.7,78,75.1,medium,80.6,0,0.81
Innovative Energy Limited Ltd. (Batch 2),United States,Electronics,3226.3,3226.3,2742.4,15,22792,116079,116079,29406,908,61.1,1.23,24.5,1.02,41.3,31,47.5,82.5,true,0.63,0.73,0.61,0.65,0.79,0.91,0.42,0.47,0.57,0.63,0.63,0.88,0.75,0.78,0.73,0.36,0.67,0.94,0.75,675,0,88.3,71,78,critical,80,0,0.81
Future Construction Works Ltd. (Batch 2),United States,Construction,2029.6,2029.6,1816.5,10.5,15460,98152,98152,50190,1383,15.6,2.23,16.3,1.22,45.4,59.6,44,51.8,true,0.62,0.72,0.44,0.94,0.84,0.66,0.76,0.83,0.63,0.86,0.54,0.93,0.8,0.83,0.78,0.28,0.87,0.74,0.8,750,0,74.7,68.4,74.8,critical,72.8,0,0.81
Superior Textiles & Apparel Partners LLC (Batch 2),China,Technology,4796.2,4796.2,3808.2,20.6,12456,54901,54901,23991,602,49.4,1.36,28.8,0.81,53.1,40.6,78.5,62.8,true,0.63,0.45,0.83,0.55,0.76,0.73,0.43,0.5,0.86,0.53,0.74,0.65,0.86,0.84,0.83,0.51,0.64,0.77,0.84,810,0,84.8,65.1,74.6,critical,75.9,0,0.81
